category_original,category_djinni,experience_original,experience_label,salary_min,salary_max,country,scrape_date,source
2d animator,2d_animation,Middle,2-3 роки,,,DE,2026-05-19,adzuna
2d animator,2d_animation,Senior,5+ років,,,DE,2026-05-19,adzuna
2d artist,2d_artist,Middle,2-3 роки,,,DE,2026-05-19,adzuna
2d artist,2d_artist,Senior,5+ років,,,DE,2026-05-19,adzuna
3d animator,3d_animation,Middle,2-3 роки,,,DE,2026-05-19,adzuna
3d animator,3d_animation,Senior,5+ років,,,DE,2026-05-19,adzuna
3d artist,3d_artist,Middle,2-3 роки,,,DE,2026-05-19,adzuna
3d artist,3d_artist,Senior,5+ років,,,DE,2026-05-19,adzuna
accountant finance,accountant,Middle,2-3 роки,,,DE,2026-05-19,adzuna
accountant finance,accountant,Senior,5+ років,,,DE,2026-05-19,adzuna
affiliate manager,affiliate_manager,Middle,2-3 роки,,,DE,2026-05-19,adzuna
affiliate manager,affiliate_manager,Senior,5+ років,,,DE,2026-05-19,adzuna
android developer,android,Middle,2-3 роки,,,DE,2026-05-19,adzuna
android developer,android,Senior,5+ років,,,DE,2026-05-19,adzuna
angular developer,angular,Middle,2-3 роки,,,DE,2026-05-19,adzuna
angular developer,angular,Senior,5+ років,,,DE,2026-05-19,adzuna
asp.net developer,asp_net,Middle,2-3 роки,,,DE,2026-05-19,adzuna
asp.net developer,asp_net,Senior,5+ років,,,DE,2026-05-19,adzuna
blazor developer,blazor,Middle,2-3 роки,,,DE,2026-05-19,adzuna
blazor developer,blazor,Senior,5+ років,,,DE,2026-05-19,adzuna
business analyst IT,business_analyst,Middle,2-3 роки,5650.0,8475.0,DE,2026-05-19,adzuna
business analyst IT,business_analyst,Senior,5+ років,5650.0,8475.0,DE,2026-05-19,adzuna
c programmer,c,Middle,2-3 роки,,,DE,2026-05-19,adzuna
c programmer,c,Senior,5+ років,,,DE,2026-05-19,adzuna
chief business development officer,cbdo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief business development officer,cbdo,Senior,5+ років,,,DE,2026-05-19,adzuna
chief commercial officer,cco,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief commercial officer,cco,Senior,5+ років,,,DE,2026-05-19,adzuna
chief executive officer tech,ceo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief executive officer tech,ceo,Senior,5+ років,,,DE,2026-05-19,adzuna
chief financial officer tech,cfo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief financial officer tech,cfo,Senior,5+ років,,,DE,2026-05-19,adzuna
chief information officer,cio,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief information officer,cio,Senior,5+ років,,,DE,2026-05-19,adzuna
chief marketing officer tech,cmo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief marketing officer tech,cmo,Senior,5+ років,,,DE,2026-05-19,adzuna
content designer,content_design,Middle,2-3 роки,,,DE,2026-05-19,adzuna
content designer,content_design,Senior,5+ років,,,DE,2026-05-19,adzuna
content manager,content_manager,Middle,2-3 роки,,,DE,2026-05-19,adzuna
content manager,content_manager,Senior,5+ років,,,DE,2026-05-19,adzuna
content marketing manager,content_marketing,Middle,2-3 роки,,,DE,2026-05-19,adzuna
content marketing manager,content_marketing,Senior,5+ років,,,DE,2026-05-19,adzuna
content writer,content_writing,Middle,2-3 роки,,,DE,2026-05-19,adzuna
content writer,content_writing,Senior,5+ років,,,DE,2026-05-19,adzuna
chief operating officer,coo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief operating officer,coo,Senior,5+ років,,,DE,2026-05-19,adzuna
c++ developer,cplusplus,Middle,2-3 роки,5885.0,7298.0,DE,2026-05-19,adzuna
c++ developer,cplusplus,Senior,5+ років,5885.0,7298.0,DE,2026-05-19,adzuna
chief product officer,cpo,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief product officer,cpo,Senior,5+ років,,,DE,2026-05-19,adzuna
c++ developer,cpp,Middle,2-3 роки,5885.0,7298.0,DE,2026-05-19,adzuna
c++ developer,cpp,Senior,5+ років,5885.0,7298.0,DE,2026-05-19,adzuna
chief technology officer,cto,Middle,2-3 роки,,,DE,2026-05-19,adzuna
chief technology officer,cto,Senior,5+ років,8287.0,12242.0,DE,2026-05-19,adzuna
data analyst,data_analyst,Middle,2-3 роки,,,DE,2026-05-19,adzuna
data analyst,data_analyst,Senior,5+ років,,,DE,2026-05-19,adzuna
data engineer,data_engineer,Middle,2-3 роки,,,DE,2026-05-19,adzuna
